skill,frequency
kotlin,2
kubernetes,5
kubernets,1
laravel,2
lightgbm,1
linux kernel,2
machine learning,14
management studio,1
marshmallow,1
matplotlib,1
microservices,1
mobile iron,1
mocap,1
motion capture,1
natural language processing,1
neural networks,1
numpy,5
nuxt,1
opencv,1
owasp,1
pandas,6
pentest,1
phpMyAdmin,1
pl/pgsql,1
psr,3
psycopg2,1
pymystem3,1
pytest,5
pytest/unittest,1
pytorch,1
r,1
rake,1
react,4
reactjs,1
redux,1
reinforcement learning,1
replication,1
restfull,1
sanic,1
scikit,1
scikit-learn,1
scikit_learn,1
scipy,3
selenium,1
sentry,1
sigmoid,1
single-page,1
sklearn,3
software testing,1
sprig boot,1
sqlalchemy,1
ssh,1
statsmodel,1
swift,1
syntax net,1
tensorflow,1
test documentation,1
testing,2
three.js,2
tornado,1
vSphere,1
verification,1
vim,1
vue,2
vue.js,6
vuejs,1
web,3
web разработка,1
web-servic,1
web-service,1
webpack,2
xgboost,1
yaml,1
z/OS,1
Аiohttp,1
Аsyncio,1
Автоматизация,4
Автоматизация производства,1
Автоматизация тестирования,1
Автоматизация технологических процессов,2
Автоматизированное рабочее место (АРМ),1
Автоматизированное тестирование,3
Автомобильные перевозки,1
Автомобильные проекты,1
Автотестирование,1
Адаптация,1
Администрирование,9
Администрирование *nix,1
Администрирование Oracle,1
Администрирование Oracle 9I,1
Администрирование lamp,1
Администрирование баз данных,1
Администрирование сайтов,1
Администрирование серверов,3
Администрирование серверов Linux,45
Администрирование серверов Windows,8
Администрирование сервисов Linux,1
Администрирование сетевого оборудования,7
АйТи,1
Алгоритмы,2
Анализ ФХД,1
Анализ бизнес показателей,6
Анализ временных рядов,3
Анализ данных,57
Анализ защищенности,1
Анализ инвестиционных проектов,2
Анализ конкурентной среды,1
Анализ поведения пользователей,1
Анализ рисков,6
Анализ рынка,3
Анализ финансовых показателей,1
Аналитика,10
Аналитические исследования,33
Аналитические способности,2
Аналитический склад ума,1
Аналитическое мышление,24
Английский не ниже intermediate,1
Английский язык,120
Английский язык (уровень чтения технической документации).,1
Английский — A1 — Начальный,37
Английский — A2 — Элементарный,4
Английский — B1 — Средний,66
Английский — B2 — Средне-продвинутый,39
Английский — C1 — Продвинутый,20
Английский — C2 — В совершенстве,2
